Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Fixed broadband subscriptions,IT.NET.BBND,East Asia & Pacific (excluding high income),EAP,..,26660,301262306,350329750,426573136,445595846,494878357,536159450,595137117,652624450,..,..
Fixed broadband subscriptions,IT.NET.BBND,East Asia & Pacific (IDA & IBRD countries),TEA,..,26660,301300000,350300000,426600000,445600000,494900000,535200000,595100000,652300000,699000000,..
Fixed broadband subscriptions,IT.NET.BBND,Euro area,EMU,..,1309768,114419012,118710944,123156916,126665017,129827746,133712574,137133402,140546555,..,..
Fixed broadband subscriptions,IT.NET.BBND,Europe & Central Asia,ECS,..,..,224300000,233500000,246200000,255000000,262600000,275500000,285500000,293100000,303500000,..
Fixed broadband subscriptions,IT.NET.BBND,Europe & Central Asia (excluding high income),ECA,..,..,27752125,30300016,33062975,35899610,38050221,44003648,47914757,50275629,..,..
Fixed broadband subscriptions,IT.NET.BBND,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,68800000,72300000,79400000,83900000,87200000,95100000,100600000,105500000,111200000,..
Fixed broadband subscriptions,IT.NET.BBND,European Union,EUU,..,1631668,139127853,144211616,149810842,154290371,158462238,163762167,168367743,172887839,..,..
Fixed broadband subscriptions,IT.NET.BBND,Fragile and conflict affected situations,FCS,..,..,10000000,11100000,15800000,16200000,18700000,22200000,22500000,22700000,25500000,..
Fixed broadband subscriptions,IT.NET.BBND,Heavily indebted poor countries (HIPC),HPC,..,..,1974106,2812846,2889526,3162916,4162376,5192103,5783135,4957870,..,..
Fixed broadband subscriptions,IT.NET.BBND,High income,HIC,..,15733382,404800000,418300000,435300000,446900000,459200000,478300000,495800000,508800000,522300000,..
Fixed broadband subscriptions,IT.NET.BBND,IBRD only,IBD,..,..,467200000,527100000,621000000,652900000,712000000,777400000,859400000,935800000,1000700000,..
Fixed broadband subscriptions,IT.NET.BBND,IDA & IBRD total,IBT,..,..,480500000,545000000,641300000,675800000,735700000,807100000,894400000,975100000,1043900000,..
Fixed broadband subscriptions,IT.NET.BBND,IDA blend,IDB,..,..,4100000,6200000,6800000,7500000,6900000,9700000,12400000,14400000,16800000,..
Fixed broadband subscriptions,IT.NET.BBND,IDA only,IDX,..,..,9200000,11700000,13600000,15400000,16800000,20000000,22600000,24900000,26400000,..
Fixed broadband subscriptions,IT.NET.BBND,IDA total,IDA,..,..,13200000,17900000,20400000,22900000,23700000,29700000,35000000,39300000,43200000,..
Fixed broadband subscriptions,IT.NET.BBND,Late-demographic dividend,LTE,..,143827,385464311,437059320,521640326,543560449,593475820,639870557,705520735,769017973,..,..
Fixed broadband subscriptions,IT.NET.BBND,Latin America & Caribbean,LCN,..,138033,67100000,71500000,76700000,82700000,86800000,97100000,107800000,115800000,120800000,..
Fixed broadband subscriptions,IT.NET.BBND,Latin America & Caribbean (excluding high income),LAC,..,125880,59264966,63392441,68318078,73447526,77930829,87615313,96941561,101323399,..,..
Fixed broadband subscriptions,IT.NET.BBND,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,138033,66200000,70700000,75900000,81800000,85800000,96000000,106500000,114500000,119500000,..
Fixed broadband subscriptions,IT.NET.BBND,Least developed countries: UN classification,LDC,..,..,7127078,8901679,9990762,11193032,12442892,15327743,17110575,16627031,..,..
Fixed broadband subscriptions,IT.NET.BBND,Low & middle income,LMY,..,..,432753986,495944019,587717870,619173352,678983202,748864209,832439713,901581012,..,..
Fixed broadband subscriptions,IT.NET.BBND,Low income,LIC,..,..,2000000,2300000,2200000,2300000,2600000,2900000,3100000,3400000,3500000,..
Fixed broadband subscriptions,IT.NET.BBND,Lower middle income,LMC,..,..,45000000,53500000,59000000,65900000,73800000,89300000,105500000,118300000,129800000,..
Fixed broadband subscriptions,IT.NET.BBND,Middle East & North Africa,MEA,..,..,26900000,29900000,39200000,42800000,44300000,51100000,57900000,63600000,68700000,..
Fixed broadband subscriptions,IT.NET.BBND,Middle East & North Africa (excluding high income),MNA,..,..,16219582,18930022,26342911,29061340,30746369,36116698,39718065,38524470,..,..
Fixed broadband subscriptions,IT.NET.BBND,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,15900000,18600000,26000000,29000000,30400000,35700000,39300000,41800000,45600000,..
Fixed broadband subscriptions,IT.NET.BBND,Middle income,MIC,..,..,430725244,493662706,585497938,617118529,676411607,745988937,829308024,900352372,..,..
Fixed broadband subscriptions,IT.NET.BBND,North America,NAC,..,8480806,115400000,119100000,122100000,125200000,129500000,136800000,141900000,144400000,147700000,..
Fixed broadband subscriptions,IT.NET.BBND,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,OECD members,OED,..,15006644,380122100,394560081,408708530,421502631,434366770,456648099,471516483,481180149,..,..
Fixed broadband subscriptions,IT.NET.BBND,Other small states,OSS,..,..,1662601,1710570,1799097,1849097,1970415,2065902,2179591,2279111,..,..
Fixed broadband subscriptions,IT.NET.BBND,Pacific island small states,PSS,..,..,29061,28255,23330,24883,41887,40724,42473,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Post-demographic dividend,PST,..,15491314,349397579,361610072,372405782,381778901,393951489,409730473,419408052,427309962,..,..
Fixed broadband subscriptions,IT.NET.BBND,Pre-demographic dividend,PRE,..,..,1160205,1730105,6616717,7059361,7719317,10253395,10529866,10744637,..,..
Fixed broadband subscriptions,IT.NET.BBND,Small states,SST,..,..,2100000,2200000,2300000,2300000,2500000,2700000,2900000,3000000,3100000,..
Fixed broadband subscriptions,IT.NET.BBND,South Asia,SAS,..,..,24600000,28900000,29300000,30800000,32100000,38600000,45400000,52600000,59100000,..
Fixed broadband subscriptions,IT.NET.BBND,South Asia (IDA & IBRD),TSA,..,..,24600000,28900000,29300000,30800000,32100000,38600000,45400000,52600000,59100000,..
Fixed broadband subscriptions,IT.NET.BBND,Sub-Saharan Africa,SSF,..,..,3700000,4100000,4200000,4600000,5300000,6400000,7400000,8500000,9600000,..
Fixed broadband subscriptions,IT.NET.BBND,Sub-Saharan Africa (excluding high income),SSA,..,..,3639380,4086781,4160112,4373332,5321881,6378369,7313987,8030378,..,..
Fixed broadband subscriptions,IT.NET.BBND,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,3700000,4100000,4200000,4600000,5300000,6400000,7400000,8500000,9600000,..
Fixed broadband subscriptions,IT.NET.BBND,Upper middle income,UMC,..,152043,385800000,440200000,526500000,552200000,602700000,655700000,724600000,789600000,845500000,..
Fixed broadband subscriptions,IT.NET.BBND,World,WLD,..,..,841300000,918100000,1027000000,1071100000,1140800000,1228800000,1328200000,1418700000,1495600000,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
