Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Fixed broadband subscriptions,IT.NET.BBND,Kazakhstan,KAZ,..,..,2300000,2350000,2580000,2460000,2510000,2620000,2750000,2900000,3590000,..
Fixed broadband subscriptions,IT.NET.BBND,Kenya,KEN,..,..,135000,133000,288000,371000,491000,674000,789000,1040000,1320000,..
Fixed broadband subscriptions,IT.NET.BBND,Kiribati,KIR,..,..,117,110,111,87,105,185,111,90,440,..
Fixed broadband subscriptions,IT.NET.BBND,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,"Korea, Rep.",KOR,..,3870000,20000000,20600000,21200000,21300000,21800000,22300000,22900000,23500000,24100000,..
Fixed broadband subscriptions,IT.NET.BBND,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Kuwait,KWT,..,..,55000,101000,118000,104000,84600,73900,70500,62600,49000,..
Fixed broadband subscriptions,IT.NET.BBND,Kyrgyz Republic,KGZ,..,..,212000,241000,258000,251000,269000,289000,302000,390000,456000,..
Fixed broadband subscriptions,IT.NET.BBND,Lao PDR,LAO,..,..,14600,24400,27200,45400,76300,123000,151000,183000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Latvia,LVA,..,284,504000,519000,526000,526000,509000,491000,490000,489000,489000,..
Fixed broadband subscriptions,IT.NET.BBND,Lebanon,LBN,..,..,..,..,..,..,420000,432000,432000,419000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Lesotho,LSO,..,..,2060,2230,4820,5760,4620,5060,8000,9090,8870,..
Fixed broadband subscriptions,IT.NET.BBND,Liberia,LBR,..,..,7000,8000,9000,..,11000,13000,13000,14800,..,..
Fixed broadband subscriptions,IT.NET.BBND,Libya,LBY,..,..,61000,169000,318000,..,318000,332000,332000,326000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Liechtenstein,LIE,..,..,15700,15900,16300,16700,17200,18100,18600,19200,19700,..
Fixed broadband subscriptions,IT.NET.BBND,Lithuania,LTU,..,..,833000,858000,799000,789000,790000,797000,802000,809000,806000,..
Fixed broadband subscriptions,IT.NET.BBND,Luxembourg,LUX,..,..,195000,203000,215000,224000,232000,235000,244000,250000,..,..
Fixed broadband subscriptions,IT.NET.BBND,"Macao SAR, China",MAC,..,3730,170000,178000,186000,193000,200000,208000,206000,209000,212000,..
Fixed broadband subscriptions,IT.NET.BBND,Madagascar,MDG,..,..,23700,26400,25100,27200,30000,32000,30900,32700,33600,..
Fixed broadband subscriptions,IT.NET.BBND,Malawi,MWI,..,..,5860,8690,10800,11400,11400,12300,13400,14900,16800,..
Fixed broadband subscriptions,IT.NET.BBND,Malaysia,MYS,..,..,3060000,2720000,2690000,2700000,2960000,3360000,3730000,4220000,4580000,..
Fixed broadband subscriptions,IT.NET.BBND,Maldives,MDV,..,..,23200,29300,36500,47400,53200,63700,76500,91200,98500,..
Fixed broadband subscriptions,IT.NET.BBND,Mali,MLI,..,..,3500,21400,15400,121000,143000,244000,145000,179000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Malta,MLT,..,1660,163000,171000,181000,192000,203000,213000,221000,229000,236000,..
Fixed broadband subscriptions,IT.NET.BBND,Marshall Islands,MHL,..,..,1000,1000,1000,1000,1000,1000,942,942,..,..
Fixed broadband subscriptions,IT.NET.BBND,Mauritania,MRT,..,..,9640,11100,12600,13200,10800,18500,19200,13900,..,..
Fixed broadband subscriptions,IT.NET.BBND,Mauritius,MUS,..,..,197000,213000,246000,275000,307000,323000,329000,334000,343000,..
Fixed broadband subscriptions,IT.NET.BBND,Mexico,MEX,..,15000,14800000,15900000,17000000,18400000,19400000,22500000,24600000,26300000,26600000,..
Fixed broadband subscriptions,IT.NET.BBND,"Micronesia, Fed. Sts.",FSM,..,..,3280,3170,3780,..,5000,6000,6000,6520,..,..
Fixed broadband subscriptions,IT.NET.BBND,Moldova,MDA,..,..,534000,557000,584000,623000,671000,719000,762000,800000,841000,..
Fixed broadband subscriptions,IT.NET.BBND,Monaco,MCO,..,800,18400,18600,19300,19700,20500,20900,21200,21500,21800,..
Fixed broadband subscriptions,IT.NET.BBND,Mongolia,MNG,..,..,208000,226000,285000,306000,318000,308000,380000,437000,499000,..
Fixed broadband subscriptions,IT.NET.BBND,Montenegro,MNE,..,..,112000,115000,137000,159000,179000,184000,188000,196000,203000,..
Fixed broadband subscriptions,IT.NET.BBND,Morocco,MAR,..,..,1150000,1260000,1380000,1550000,1750000,2100000,2270000,2420000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Mozambique,MOZ,..,..,42600,46600,61600,70100,70000,70000,65500,64599.9999999999,..,..
Fixed broadband subscriptions,IT.NET.BBND,Myanmar,MMR,..,..,32900,89700,112000,129000,486000,689000,893000,1130000,1510000,..
Fixed broadband subscriptions,IT.NET.BBND,Namibia,NAM,..,..,70400,64300,65800,62900,69000,78800,89300,95100,104000,..
Fixed broadband subscriptions,IT.NET.BBND,Nauru,NRU,..,..,..,..,..,..,..,..,..,1180,..,..
Fixed broadband subscriptions,IT.NET.BBND,Nepal,NPL,..,..,303000,224000,503000,792000,1030000,1270000,1270000,1440000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Netherlands,NLD,..,260000,7030000,7220000,7290000,7410000,7460000,7530000,7610000,7800000,7830000,..
Fixed broadband subscriptions,IT.NET.BBND,New Caledonia,NCL,..,..,55400,..,..,..,55000,55000,55000,55600,..,..
Fixed broadband subscriptions,IT.NET.BBND,New Zealand,NZL,..,4660,1450000,1530000,1580000,1650000,1700000,1760000,1800000,1860000,1930000,..
Fixed broadband subscriptions,IT.NET.BBND,Nicaragua,NIC,..,700,116000,177000,210000,192000,218000,290000,300000,337000,371000,..
Fixed broadband subscriptions,IT.NET.BBND,Niger,NER,..,..,27200,7710,8650,..,11000,12000,12000,13700,..,..
Fixed broadband subscriptions,IT.NET.BBND,Nigeria,NGA,..,..,15700,108000,111000,74000,83400,65300,65900,96800,117000,..
Fixed broadband subscriptions,IT.NET.BBND,North Macedonia,MKD,..,..,364000,382000,396000,428000,454000,476000,499000,515000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Norway,NOR,..,23300,2049999.99999999,2110000,2170000,2210000,2260000,2390000,2430000,2490000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Oman,OMN,..,..,233000,285000,349000,422000,473000,509000,525000,537000,562000,..
Fixed broadband subscriptions,IT.NET.BBND,Pakistan,PAK,..,..,1790000,2490000,2320000,2160000,2029999.99999999,2440000,2950000,3130000,3360000,..
Fixed broadband subscriptions,IT.NET.BBND,Palau,PLW,..,..,1220,..,..,..,..,..,..,1240,1300,..
Fixed broadband subscriptions,IT.NET.BBND,Panama,PAN,..,..,316000,430000,441000,540000,536000,594000,645000,721000,809000,..
Fixed broadband subscriptions,IT.NET.BBND,Papua New Guinea,PNG,..,..,15000,17000,18000,..,20000,21000,21000,21900,..,..
Fixed broadband subscriptions,IT.NET.BBND,Paraguay,PRY,..,150,215000,247000,290000,321000,412000,562000,723000,738000,878000,..
Fixed broadband subscriptions,IT.NET.BBND,Peru,PER,..,1080,2000000,2120000,2310000,2580000,2400000,2760000,3000000,3160000,3530000,..
Fixed broadband subscriptions,IT.NET.BBND,Philippines,PHL,..,..,2900000,2990000,3400000,3790000,6310000,7940000,9620000,8740000,7510000,..
Fixed broadband subscriptions,IT.NET.BBND,Poland,POL,..,..,7270000,7330000,7630000,7850000,7840000,8369999.99999999,8680000,9150000,10100000,..
Fixed broadband subscriptions,IT.NET.BBND,Portugal,PRT,..,25200,3140000,3380000,3570000,3780000,3970000,4160000,4310000,4470000,4600000,..
Fixed broadband subscriptions,IT.NET.BBND,Puerto Rico,PRI,..,..,704000,687000,660000,609000,610000,670000,769000,722000,751000,..
Fixed broadband subscriptions,IT.NET.BBND,Qatar,QAT,..,..,238000,254000,257000,268000,285000,296000,312000,366000,347000,..
Fixed broadband subscriptions,IT.NET.BBND,Romania,ROU,..,..,4260000,4450000,4750000,5090000,5280000,5680000,6100000,6370000,6630000,..
Fixed broadband subscriptions,IT.NET.BBND,Russian Federation,RUS,..,..,26900000,27500000,31100000,32100000,32900000,33900000,34600000,35900000,..,..
Fixed broadband subscriptions,IT.NET.BBND,Rwanda,RWA,..,..,21100,21700,21800,7500,8890,17700,31900,47800,62200,..
Fixed broadband subscriptions,IT.NET.BBND,Samoa,WSM,..,..,2080,2170,1690,1690,1690,1690,1690,1890,..,..
Fixed broadband subscriptions,IT.NET.BBND,San Marino,SMR,..,..,11600,12000,10500,10900,11100,11000,12000,12200,..,..
Fixed broadband subscriptions,IT.NET.BBND,Sao Tome and Principe,STP,..,..,1310,1430,1480,1560,1640,2510,3420,4580,5780,..
Fixed broadband subscriptions,IT.NET.BBND,Saudi Arabia,SAU,..,..,6340000,6400000,6650000,6820000,6800000,7890000,10600000,13500000,14500000,..
Fixed broadband subscriptions,IT.NET.BBND,Senegal,SEN,..,..,101000,98400,112000,130000,152000,177000,208000,248000,357000,..
Fixed broadband subscriptions,IT.NET.BBND,Serbia,SRB,..,..,1320000,1450000,1480000,1550000,1620000,1730000,1800000,1950000,2080000,..
Fixed broadband subscriptions,IT.NET.BBND,Seychelles,SYC,..,..,13400,14000,15200,19700,27000,35000,41300,37400,39400,..
Fixed broadband subscriptions,IT.NET.BBND,Sierra Leone,SLE,..,..,..,..,..,..,172,180,184,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Singapore,SGP,..,69000,1490000,1590000,1480000,1490000,1500000,1510000,1530000,1560000,1570000,..
Fixed broadband subscriptions,IT.NET.BBND,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions,IT.NET.BBND,Slovak Republic,SVK,..,..,1270000,1340000,1410000,1510000,1590000,1700000,1770000,1860000,1830000,..
Fixed broadband subscriptions,IT.NET.BBND,Slovenia,SVN,..,..,569000,589000,602000,613000,628000,652000,667000,677000,683000,..
Fixed broadband subscriptions,IT.NET.BBND,Solomon Islands,SLB,..,..,1420,1640,1170,1490,1050,1000,1000,836,..,..
Fixed broadband subscriptions,IT.NET.BBND,Somalia,SOM,..,..,82000,92000,98000,..,98000,119000,119000,119000,..,..
Fixed broadband subscriptions,IT.NET.BBND,South Africa,ZAF,..,..,1410000,1150000,1120000,1110000,1250000,1300000,1690000,1950000,2150000,..
Fixed broadband subscriptions,IT.NET.BBND,South Sudan,SSD,..,..,150,150,200,200,200,..,200,200,200,..
Fixed broadband subscriptions,IT.NET.BBND,Spain,ESP,..,76400,13500000,14100000,14700000,15200000,15600000,16200000,16700000,17100000,18200000,..
Fixed broadband subscriptions,IT.NET.BBND,Sri Lanka,LKA,..,..,626000,892000,1220000,1540000,1670000,1780000,2390000,2200000,2009999.99999999,..
Fixed broadband subscriptions,IT.NET.BBND,St. Kitts and Nevis,KNA,..,..,16400,14200,29300,16400,20400,21500,20100,21800,..,..
